case_id,scenario_description,A0_state,modality_class,endpoint_data_type,A1_state,A2_state,A3_state,A4_state,A5_state,A6_state,A7_state,A8_state,analyte_role,A9_state,A10_state,required_policies,terminal_state,q_code,action_sequence_pattern,family_id_hint
BC039,MATERNAL_INFANT_PK without delivery anchor,AIC-LACTATION,MAB,MATERNAL_INFANT_PK,ID-DYAD-LINKABLE,TIME-ANCHOR-AMBIGUOUS,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[delivery_anchor_policy],QUARANTINE,Q12,parse->flag_quarantine(Q12),F29
BC040,ADC with multi-analyte but analyte_role missing,AIC-PKPD,ADC,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,,REANALYSIS-NONE,STRUCTURED,[analyte_role_declaration],QUARANTINE,Q16,parse->flag_quarantine(Q16),F24
BC041,CAR-T product-level cov lot-subject mapping absent,AIC-CELL_THERAPY,CELL_THERAPY,CELLULAR_KINETICS,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,CELLULAR-BLQ-DEFINED,COVARIATE-BASELINE-ONLY,PRODUCT-LEVEL-COVARIATE,SINGLE-ANALYTE,CAR_POSITIVE_CELL,REANALYSIS-NONE,STRUCTURED,[lot_subject_linkage_key],QUARANTINE,Q13,parse->flag_quarantine(Q13 note='absorbed Q17'),F26
BC042,CAR-T product attribute absent from data package,AIC-CELL_THERAPY,CELL_THERAPY,CELLULAR_KINETICS,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,CELLULAR-BLQ-DEFINED,COVARIATE-BASELINE-ONLY,PRODUCT-LEVEL-COVARIATE,SINGLE-ANALYTE,CAR_POSITIVE_CELL,REANALYSIS-NONE,STRUCTURED,[],QUARANTINE,Q15A,parse->flag_quarantine(Q15A),F26
BC043,MILK_PK without matrix LLOQ,AIC-LACTATION,SMALL_MOLECULE,MILK_PK,ID-DYAD-LINKABLE,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,LLOQ-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[milk_matrix_lloq_policy],QUARANTINE,Q01,parse->flag_quarantine(Q01),F29
BC044,BLQ no policy,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BLQ-NO-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[blq_handling_policy],QUARANTINE,Q01,parse->flag_quarantine(Q01),F01
BC045,LLOQ missing,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,LLOQ-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[],QUARANTINE,Q01,parse->flag_quarantine(Q01),F01
BC046,Time anchor ambiguous,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-ANCHOR-AMBIGUOUS,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[],QUARANTINE,Q02,parse->flag_quarantine(Q02),F01
BC047,ID ambiguous,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-AMBIGUOUS,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[],QUARANTINE,Q03,parse->flag_quarantine(Q03),F01
BC048,Infusion no reconstruction policy,AIC-PK,MAB,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-INFUSION-STOP-RESTART,INFUSION-STOP-RESTART,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[infusion_reconstruction_policy],QUARANTINE,Q04,parse->flag_quarantine(Q04),F01
BC049,Regimen missing no policy,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,MISSING-NO-POLICY,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[],QUARANTINE,Q08,parse->flag_quarantine(Q08),F01
BC050,CMT policy missing,AIC-PKPD,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,CMT-POLICY-MISSING,,REANALYSIS-NONE,STRUCTURED,[cmt_analyte_policy],QUARANTINE,Q09,parse->flag_quarantine(Q09),F23
BC051,ADDL-actual conflict no policy,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[addl_actual_conflict_policy],QUARANTINE,Q14,parse->flag_quarantine(Q14),F01
BC052,BIOANALYTICAL final flag missing,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL-FLAG-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[bioanalytical_final_selection_policy],QUARANTINE,Q15A,parse->flag_quarantine(Q15A),F01
BC053,Legacy flag undocumented,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,[],QUARANTINE,Q15B,parse->flag_quarantine(Q15B),F06
BC054,RWD adherence unresolved,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,RWD-ADHERENCE-UNRESOLVED,[adherence_imputation_policy],QUARANTINE,Q15C,parse->flag_quarantine(Q15C),F20
BC055,Reanalysis final missing,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-FINAL-MISSING,STRUCTURED,[reanalysis_final_selection_policy],QUARANTINE,Q15D,parse->flag_quarantine(Q15D),F01
BC056,Covariate imputation policy missing,AIC-PKPD,MAB,CONTINUOUS_PD,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-IMPUTATION-POLICY-MISSING,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[covariate_policy],QUARANTINE,Q06,parse->flag_quarantine(Q06),F13
BC057,Raw FCS no derivation,AIC-PKPD,SMALL_MOLECULE,CONTINUOUS_PD,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,ABSENT,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,NON-TABULAR,[],UNSUPPORTED,,flag_unsupported(F31),F31
BC058,Omics raw,AIC-PKPD,SMALL_MOLECULE,CONTINUOUS_PD,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,ABSENT,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,NON-TABULAR,[],UNSUPPORTED,,flag_unsupported(F32),F32
BC059,Source corrupted,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,CORRUPTED,[],INVALID,,flag_invalid(reason='source corrupted'),F34
BC060,Dose unrecoverable,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-UNRECOVERABLE,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[],INVALID,,flag_invalid(reason='dose unrecoverable'),F34
