node_id,question,allowed_answers,yes_path,no_path,q_code_if_fail,depends_on_axis,terminal_if_fail,forced_inclusion,cost_if_excluded,total_cost,rationale,detection_rule,audit_risk,v5_1_note
N10,is_endpoint IMMUNOGENICITY?,Y/N,terminal,terminal,,A0,n.a.,FALSE,2.00,2.00,Distinguishes immunogenicity path.,endpoint_data_type == IMMUNOGENICITY,3,v5.1 P92 patch
N11,is_endpoint MATERNAL_INFANT_PK or MILK_PK?,Y/N,terminal,terminal,,A0,n.a.,FALSE,2.00,2.00,Distinguishes maternal-infant / milk paths.,"endpoint_data_type in [MATERNAL_INFANT_PK, MILK_PK]",3,v5.1 P92 patch
N12,is_v4.2 modality (ADC/BISPECIFIC/CELL/GENE/MRNA)?,Y/N,terminal,terminal,,A0,n.a.,FALSE,2.00,2.00,Distinguishes v4.2 modality-driven paths.,"modality_class in [ADC, BISPECIFIC, CELL_THERAPY, GENE_THERAPY, MRNA]",3,v5.1 P92 patch
N13,Does sequence include BLQ canonicalization?,Y/N,terminal,terminal,,A5,n.a.,FALSE,1.50,1.50,Distinguishes BLQ-handling vs no-BLQ paths.,action_sequence contains canonicalize_blq or canonicalize_cellular_blq,2,v5.1 P92 round 2
N14,Does sequence include dose reconstruction?,Y/N,terminal,terminal,,A3+A4,n.a.,FALSE,1.50,1.50,Distinguishes dose-reconstruction paths.,action_sequence contains any of reconstruct_dose_* / expand_addl_ii / resolve_addl_actual_conflict,2,v5.1 P92 round 2
N15,Does sequence include subject_id mapping?,Y/N,terminal,terminal,,A1,n.a.,FALSE,1.20,1.20,Distinguishes pooled-study ID disambiguation.,action_sequence contains map_subject_id,2,v5.1 P92 round 2
N16,Does sequence include reanalysis final selection?,Y/N,terminal,terminal,,A9,n.a.,FALSE,1.20,1.20,Distinguishes reanalysis-resolved paths.,action_sequence contains resolve_reanalysis_final,2,v5.1 P92 round 2
N17,Does sequence include postpartum/elapsed time anchor?,Y/N,terminal,terminal,,A2,n.a.,FALSE,1.20,1.20,Distinguishes pregnancy/lactation time-anchor paths.,action_sequence contains derive_time_postpartum_anchor or derive_time_elapsed,2,v5.1 P92 round 2
N18,Does sequence include any multi-CMT assignment?,Y/N,terminal,terminal,,A8,n.a.,FALSE,1.30,1.30,Distinguishes multi-CMT scenarios.,action_sequence contains assign_cmt_multi / assign_cmt_ddi_* / assign_cmt_with_analyte_role,2,v5.1 P92 round 3
N19,Does sequence include any covariate attachment?,Y/N,terminal,terminal,,A7,n.a.,FALSE,1.30,1.30,Distinguishes product-level / time-varying / external covariate scenarios.,action_sequence contains attach_covariate_* or attach_dyad_linkage,2,v5.1 P92 round 3
N20,Is A5=BIOANALYTICAL-FINAL-FLAG-MISSING?,Y/N,terminal,terminal,,A5,n.a.,FALSE,1.10,1.10,Distinguishes Q15A (data package incomplete) from other quarantines.,A5_state == BIOANALYTICAL-FINAL-FLAG-MISSING,2,v5.1 P92 round 4
N21,Is A8 multi-CMT-class state (drives analyte_role check)?,Y/N,terminal,terminal,,A8,n.a.,FALSE,1.10,1.10,Distinguishes multi-CMT scenarios (Q09/Q16 paths).,"A8_state in [MULTI-CMT-DEFINED, DDI-VICTIM-PERPETRATOR, METABOLITE-DEFINED]",2,v5.1 P92 round 4
N22,Is A8=DDI-VICTIM-PERPETRATOR?,Y/N,terminal,terminal,,A8,n.a.,FALSE,1.10,1.10,Distinguishes DDI dual-CMT from other multi-CMT.,A8_state == DDI-VICTIM-PERPETRATOR,2,v5.1 P92 round 4
N23,Is A10=SEMI-STRUCTURED-LEGACY-FLAG?,Y/N,terminal,terminal,,A10,n.a.,FALSE,1.10,1.10,Distinguishes Q15B from other quarantines.,A10_state == SEMI-STRUCTURED-LEGACY-FLAG,2,v5.1 P92 round 4
N24,Is A4=ADDL-ACTUAL-CONFLICT?,Y/N,terminal,terminal,,A4,n.a.,FALSE,1.10,1.10,Distinguishes ADDL-conflict paths from other regimen paths.,A4_state == ADDL-ACTUAL-CONFLICT,2,v5.1 P92 round 4
N25,Modality supports analyte_role tagging?,Y/N,terminal,terminal,,A0,n.a.,FALSE,1.10,1.10,Distinguishes ADC/Bispecific/Cell/Gene from MRNA.,"modality_class in [ADC, BISPECIFIC, CELL_THERAPY, GENE_THERAPY]",2,v5.1 P92 round 5
N26,Sequence contains assign_cmt_with_analyte_role?,Y/N,terminal,terminal,,A8,n.a.,FALSE,1.10,1.10,Distinguishes role-tagged CMT vs plain multi-CMT.,action_sequence contains assign_cmt_with_analyte_role,2,v5.1 P92 round 5
N27,Is A5=CELLULAR-BLQ-DEFINED?,Y/N,terminal,terminal,,A5,n.a.,FALSE,1.00,1.00,Distinguishes cellular vs concentration BLQ.,A5_state == CELLULAR-BLQ-DEFINED,2,v5.1 P92 round 6
N28,Sequence contains canonicalize_cellular_blq specifically?,Y/N,terminal,terminal,,A5,n.a.,FALSE,1.00,1.00,Distinguishes cellular BLQ function from concentration BLQ.,action_sequence contains canonicalize_cellular_blq (Poisson-LLOQ subset),2,v5.1 P92 round 6
N29,Sequence contains adjudicate_immunogenicity_positivity?,Y/N,terminal,terminal,,A5,n.a.,FALSE,1.00,1.00,Distinguishes ADA-adjudication paths from clean immunogenicity.,action_sequence contains adjudicate_immunogenicity_positivity,2,v5.1 P92 round 7
